datetime,open,high,low,close,volume
2013-04-12,238.75,239.65,232.55,236.5,6095570
2013-04-15,233.9,234.8,227.0,228.65,5048158
2013-04-16,227.3,232.5,225.5,227.9,6840624
2013-04-17,229.55,229.75,217.65,219.0,6833732
2013-04-18,218.8,224.15,216.7,217.1,6232414
2013-04-19,218.8,220.7,215.2,218.0,6363562
2013-04-22,219.5,226.25,219.5,222.3,10965450
2013-04-23,222.75,228.55,221.5,227.25,6513312
2013-04-24,228.75,236.8,226.7,228.5,14741864
2013-04-25,230.0,231.8,223.55,228.75,20784092
2013-04-26,228.5,229.5,222.75,226.45,16705618
2013-04-29,220.45,237.5,217.5,235.25,21137076
2013-04-30,235.9,248.0,234.75,246.45,30992970
2013-05-02,244.0,248.45,240.15,241.7,4727684
2013-05-03,243.35,246.95,242.25,244.5,5232318
2013-05-06,245.3,247.5,242.0,247.3,5230556
2013-05-07,247.2,253.75,244.5,252.55,10559906
2013-05-08,252.45,257.5,251.95,254.55,8510484
2013-05-10,252.45,256.9,247.7,248.05,2415668
2013-05-13,247.8,248.7,238.5,239.25,7834948
2013-05-14,235.35,236.7,229.7,230.0,9771928
2013-05-15,231.9,232.0,222.2,227.05,14295180
2013-05-16,228.0,228.2,219.85,220.7,7258562
2013-05-17,221.4,225.95,218.0,224.95,12632368
2013-05-20,226.15,234.95,225.25,232.4,12206068
2013-05-21,231.65,241.4,229.4,241.0,9715286
2013-05-22,241.0,250.85,239.1,249.25,11798312
2013-05-23,244.5,244.5,235.25,238.9,9563042
2013-05-24,239.5,241.45,232.6,234.3,8062722
2013-05-27,236.0,237.5,231.85,233.2,3382566
2013-05-28,234.25,239.75,233.8,236.25,6259398
2013-05-29,235.0,236.3,228.25,230.0,8075940
2013-05-30,228.7,229.9,223.05,227.7,10984626
2013-05-31,229.1,231.25,223.2,230.0,11983176
2013-06-03,226.15,237.9,225.55,233.1,13194898
2013-06-04,235.95,241.4,235.05,239.9,16356808
2013-06-05,237.5,239.95,234.5,235.9,9338390
2013-06-06,234.6,240.0,232.55,233.0,9125154
2013-06-07,235.2,238.95,232.9,238.3,5228286
2013-06-10,240.05,243.8,235.5,238.45,6917374
2013-06-11,237.3,239.7,233.05,236.85,7815796
2013-06-13,233.85,234.85,229.75,232.5,5669370
2013-06-14,234.95,239.25,232.05,239.05,5992476
2013-06-17,239.0,243.0,238.3,240.2,6340452
2013-06-18,239.6,246.45,237.85,244.9,6115526
2013-06-19,245.75,246.8,243.05,244.9,6617312
2013-06-20,240.45,241.5,234.35,234.8,8749752
2013-06-21,233.45,240.75,232.5,239.55,6637492
2013-06-24,237.8,241.5,234.5,235.45,5805062
2013-06-25,235.85,241.95,235.8,239.4,6101030
2013-06-26,240.5,246.4,239.45,246.0,6427540
2013-06-27,247.4,247.9,235.45,236.95,13806130
2013-06-28,237.9,239.95,231.15,235.05,8123500
2013-07-01,234.2,238.65,232.75,236.45,3630842
2013-07-02,236.5,238.35,232.55,237.0,5804800
2013-07-03,235.95,236.4,232.9,235.0,4305338
2013-07-04,236.05,238.2,232.55,236.8,4433524
2013-07-05,237.55,241.4,236.25,237.4,5183556
2013-07-08,237.0,238.5,234.55,236.4,2378104
2013-07-09,237.5,238.65,233.5,234.1,4026158
2013-07-10,234.6,235.1,227.65,228.45,5482338
2013-07-11,230.75,235.2,230.75,235.0,10506632
2013-07-12,235.4,237.15,232.75,235.35,12903502
2013-07-15,235.85,237.8,232.6,233.0,6633162
2013-07-16,233.8,237.15,232.85,236.0,9809402
2013-07-17,236.05,239.9,234.3,239.45,11280034
2013-07-18,239.55,240.8,231.35,234.4,9278388
2013-07-19,233.55,237.65,231.85,235.0,7728792
2013-07-22,236.0,236.45,232.4,235.25,3688106
2013-07-23,236.5,237.35,233.25,233.4,4874690
2013-07-24,233.45,234.3,229.3,232.75,6198054
2013-07-25,233.5,233.8,230.85,232.65,4209492
2013-07-26,233.35,236.85,232.5,235.0,4376406
2013-07-29,235.6,236.25,233.6,235.2,2793852
2013-07-30,235.75,236.75,232.25,232.65,4308076
2013-07-31,232.6,235.4,230.65,233.05,3850414
2013-08-01,234.4,236.75,233.35,234.75,3740292
2013-08-02,236.15,237.95,231.75,233.55,4205102
2013-08-05,234.1,234.5,230.5,232.25,2981602
2013-08-06,231.65,233.05,230.5,230.9,2552060
2013-08-07,230.9,232.45,229.0,230.25,3477416
2013-08-08,231.3,232.5,223.25,227.05,5916956
2013-08-09,228.05,229.9,225.65,229.4,3588208
2013-08-12,229.85,232.25,228.05,232.1,2699252
2013-08-13,232.5,237.9,232.3,236.7,6211454
2013-08-14,236.75,240.55,235.75,237.6,5308424
2013-08-15,237.45,239.25,234.75,235.55,4169842
2013-08-16,235.75,236.4,233.0,234.95,3196726
2013-08-19,235.05,236.4,233.2,235.55,3616694
2013-08-20,234.25,234.7,232.0,233.5,3010240
2013-08-21,233.9,235.75,228.25,228.75,5916690
2013-08-22,227.6,231.3,227.15,230.5,4836186
2013-08-23,231.0,231.75,227.9,228.15,3539894
2013-08-26,229.35,230.65,227.55,228.5,2161194
2013-08-27,227.55,227.95,225.35,226.65,2331302
2013-08-28,225.5,227.0,223.05,226.35,5632198
2013-08-29,226.8,228.45,224.8,226.2,2531636
2013-08-30,226.25,226.55,221.8,222.5,3003576
2013-09-02,224.05,224.75,221.55,222.75,2813464
2013-09-03,224.7,225.0,222.0,224.0,4827456
2013-09-04,223.55,225.35,222.55,223.7,5453030
2013-09-05,224.35,228.4,223.35,227.45,7535136
2013-09-06,227.4,229.15,218.55,220.85,13933076
2013-09-09,222.35,224.25,221.05,221.75,8122846
2013-09-10,222.95,224.7,222.05,222.55,7824840
2013-09-11,223.0,224.15,222.0,222.55,5316598
2013-09-12,223.5,224.55,219.85,221.1,10679548
2013-09-13,220.75,220.8,217.95,218.9,6281772
2013-09-16,220.35,221.25,218.45,219.0,8258726
2013-09-17,218.45,220.7,217.55,220.3,6433128
2013-09-18,219.65,222.65,217.75,218.85,9290444
2013-09-19,223.35,224.35,218.6,218.8,13688014
2013-09-20,218.2,220.7,217.65,218.05,7140468
2013-09-23,218.45,219.75,216.6,218.1,5191814
2013-09-24,218.0,219.15,216.6,217.4,4408430
2013-09-25,217.5,218.5,216.1,217.95,5093522
2013-09-26,218.2,219.05,216.25,216.8,7175256
2013-09-27,216.85,217.6,214.75,215.45,7136924
2013-09-30,214.3,215.35,212.35,213.35,6188642
2013-10-01,213.0,216.25,212.95,216.05,6483672
2013-10-02,216.0,216.5,212.95,213.15,6540816
2013-10-03,214.3,214.35,209.35,210.2,8079694
2013-10-04,208.0,211.75,206.05,211.45,10769624
2013-10-07,211.1,212.45,208.05,210.1,7745776
2013-10-08,211.1,212.7,209.9,211.55,9304866
2013-10-09,210.85,212.4,210.05,211.15,7128608
